spcode,rep,organ,biomass
SEPU8,30D-4,root,0.183
SEPU8,30D-2,root,0.399
SEPU8,30D-1,root,0.179
SEPU8,45D-3,root,0.586
SEPU8,45D-1,root,0.68
SEPU8,45D-2,root,0.5
SEPU8,45D-4,root,0.489
SEPU8,45D-5,root,0.576
SEPU8,30D-3,root,0.388
SEPU8,45D-5,leaf,0.368
SEPU8,30D-1,leaf,0.1
SEPU8,30D-2,leaf,0.212
SEPU8,30D-4,leaf,0.078
SEPU8,45D-2,leaf,0.333
SEPU8,30D-3,leaf,0.274
SEPU8,45D-4,leaf,0.293
SEPU8,45D-1,leaf,0.469
SEPU8,30D-5,leaf,0.218
SEPU8,45D-3,leaf,0.443
SEPU8,5M-4,root,1.193
SEPU8,2M-2,root,1.347
SEPU8,2M-5,root,1.537
SEPU8,2M-3,root,0.174
SEPU8,2M-1,root,0.453
SEPU8,2M-1,leaf,0.931
SEPU8,2M-2,leaf,1.632
SEPU8,2M-3,leaf,0.266
SEPU8,2M-5,leaf,2.121
SEPU8,5M-4,leaf,1.196
SEPU8,2M-1,stem,0.346
SEPU8,2M-5,stem,1.33
SEPU8,2M-2,stem,1.034
SEPU8,2M-3,stem,0.089
SEPU8,5M-4,stem,0.788
SPAI,30D-5,stem,0.023
SPAI,45D-5,stem,0.042
SPAI,45D-4,stem,0.045
SPAI,30D-2,stem,0.022
SPAI,30D-3,stem,0.016
SPAI,45D-3,stem,0.034
SPAI,45D-2,stem,0.07
SPAI,30D-4,stem,0.013
SPAI,45D-1,stem,0.049
SPAI,30D-1,stem,0.012
SPAI,45D-1,root,0.091
SPAI,45D-4,root,0.092
SPAI,30D-2,root,0.033
SPAI,30D-1,root,0.026
SPAI,45D-5,root,0.088
SPAI,45D-3,root,0.086
SPAI,30D-4,root,0.041
SPAI,45D-2,root,0.1
SPAI,30D-3,root,0.03
SPAI,45D-5,leaf,0.044
SPAI,30D-2,leaf,0.023
SPAI,30D-5,leaf,0.044
SPAI,30D-4,leaf,0.05
SPAI,45D-3,leaf,0.053
SPAI,45D-2,leaf,0.089
SPAI,45D-4,leaf,0.059
SPAI,30D-1,leaf,0.02
SPAI,45D-1,leaf,0.064
SPAI,30D-3,leaf,0.031
VUMY,30D-4,stem,0.038
VUMY,45D-3,stem,0.07
VUMY,45D-4,stem,0.199
VUMY,30D-3,stem,0.03
VUMY,30D-5,stem,0.036
VUMY,30D-2,stem,0.015
VUMY,30D-1,stem,0.028
VUMY,45D-1,root,0.464
VUMY,30D-5,root,0.141
VUMY,30D-3,root,0.167
VUMY,30D-1,root,0.13
VUMY,45D-5,root,0.646
VUMY,30D-4,root,0.152
VUMY,45D-2,root,0.367
VUMY,30D-2,root,0.083
VUMY,30D-1,leaf,0.106
VUMY,30D-2,leaf,0.07
VUMY,30D-5,leaf,0.098
VUMY,30D-4,leaf,0.116
VUMY,30D-3,leaf,0.102
VUMY,45D-2,leaf,0.221
VUMY,45D-4,root,0.262
VUMY,45D-3,root,0.582
VUMY,45D-3,leaf,0.391
VUMY,45D-4,leaf,0.136
VUMY,45D-5,leaf,0.235
VUMY,45D-1,leaf,0.458
VUMY,45D-2,stem,0.422
VUMY,45D-5,stem,0.374
VUMY,45D-1,stem,0.172
VUMY,45D-2,repro,0.183
VUMY,45D-4,repro,0.011
POSE,45D-5,leaf,0.013
POSE,45D-3,leaf,0.041
BRHO2,45D-1,leaf,0.467
ELGL,45D-5,leaf,0.267
AVBA,45D-3,leaf,0.619
AVBA,45D-4,leaf,0.469
AROL,3M-1,leaf,0.161
SPAI,5M-5,leaf,0.264
NAPU4,45D-4,leaf,0.39
AROL,5M-2,leaf,0.073
ELGL,45D-3,leaf,0.343
BRDI2,45D-5,leaf,0.409
NAPU4,45D-1,leaf,0.315
AVBA,45D-1,leaf,0.559
BRHO2,45D-3,leaf,0.301
BRDI2,3M-3,leaf,6.273
BRDI2,45D-1,leaf,0.41
SPAI,5M-2,leaf,0.122
POSE,45D-4,leaf,0.062
BRHO2,45D-5,leaf,0.482
BRDI2,2M-1,leaf,1.921
BRDI2,3M-5,leaf,2.688
BRDI2,4M-2,leaf,2.474
BRDI2,5M-4,leaf,4.532
AROL,3M-3,leaf,0.094
ELGL,45D-1,leaf,0.201
AROL,4M-4,leaf,0.049
BRDI2,45D-4,leaf,0.502
AVBA,45D-2,leaf,0.571
NAPU4,45D-5,leaf,0.172
ELGL,45D-2,leaf,0.225
SPAI,2M-4,leaf,0.132
BRHO2,45D-4,leaf,0.459
NAPU4,45D-3,leaf,0.468
BRDI2,45D-2,leaf,0.662
ELGL,45D-4,leaf,0.156
POSE,45D-2,leaf,0.086
SPAI,3M-3,leaf,0.189
AVBA,45D-5,leaf,0.845
BRDI2,45D-3,leaf,0.621
POSE,45D-1,leaf,0.034
AROL,5M-5,leaf,0.076
BRHO2,45D-2,leaf,0.609
SPAI,5M-1,leaf,0.204
NAPU4,45D-2,leaf,0.158
ELGL,45D-5,stem,0.084
AVBA,45D-3,stem,0.347
ELGL,45D-4,stem,0.187
AVBA,45D-4,stem,0.183
AROL,5M-2,stem,0.086
AVBA,45D-1,stem,0.187
SPAI,2M-4,stem,0.067
BRDI2,45D-5,stem,0.374
POSE,45D-1,stem,0.02
POSE,45D-5,stem,0.009
SPAI,3M-3,stem,0.135
BRHO2,45D-1,stem,0.161
POSE,45D-4,stem,0.02
POSE,45D-3,stem,0.028
SPAI,5M-2,stem,0.085
BRDI2,3M-5,stem,1.661
BRDI2,2M-1,stem,1.641
AVBA,45D-5,stem,0.495
BRDI2,45D-4,stem,0.575
SPAI,5M-5,stem,0.175
NAPU4,45D-3,stem,0.147
BRDI2,45D-3,stem,0.417
BRHO2,45D-4,stem,0.137
AROL,3M-3,stem,0.172
NAPU4,45D-2,stem,0.068
NAPU4,45D-1,stem,0.118
ELGL,45D-1,stem,0.088
POSE,45D-2,stem,0.043
AVBA,45D-2,stem,0.287
AROL,5M-5,stem,0.108
AROL,4M-4,stem,0.083
BRHO2,45D-2,stem,0.233
ELGL,45D-3,stem,0.109
ELGL,45D-2,stem,0.191
BRDI2,4M-2,stem,2.243
BRDI2,3M-3,stem,9.303
BRDI2,5M-4,stem,2.72
NAPU4,45D-5,stem,0.075
BRDI2,45D-1,stem,0.452
SPAI,5M-1,stem,0.165
BRDI2,45D-2,stem,0.424
BRHO2,45D-3,stem,0.105
NAPU4,45D-4,stem,0.144
BRHO2,45D-5,stem,0.184
AROL,3M-1,stem,0.199
NAPU4,45D-5,root,0.388
BRHO2,45D-4,root,0.681
BRDI2,45D-1,root,0.535
POSE,45D-1,root,0.072
POSE,45D-5,root,0.018
AROL,4M-4,root,0.045
BRHO2,45D-1,root,1.033
BRDI2,2M-1,root,1.399
AROL,5M-2,root,0.064
POSE,45D-4,root,0.154
BRDI2,5M-4,root,1.12
SPAI,5M-2,root,0.187
AVBA,45D-4,root,0.749
AROL,3M-3,root,0.044
SPAI,2M-4,root,0.153
POSE,45D-3,root,0.045
AROL,5M-5,root,0.036
ELGL,45D-2,root,0.492
POSE,45D-2,root,0.174
BRDI2,45D-4,root,0.7
AROL,3M-1,root,0.121
BRHO2,45D-5,root,2.089
AVBA,45D-2,root,0.905
BRDI2,4M-2,root,2.511
BRDI2,3M-3,root,5.655
BRDI2,45D-2,root,0.954
BRHO2,45D-3,root,0.522
AVBA,45D-2,root,1.015
ELGL,45D-5,root,0.389
ELGL,45D-3,root,0.85
BRDI2,3M-5,root,1.77
NAPU4,45D-4,root,0.75
AVBA,45D-1,root,0.831
BRHO2,45D-2,root,1.179
ELGL,45D-2,root,0.442
