spcode,rep,date,dia_base1,dia_base2,dia_can1,dia_can2,height,length
VUMY,45D-5,4/1/22,1.6,2,21,21.5,15,17
VUMY,2M-5,5/6/22,2.1,1.5,57,45,38,52
VUMY,4M-4,5/6/22,2,2,64,22,38,51
VUMY,3M-3,5/6/22,5.2,5.5,58,48,36.5,46
VUMY,5M-2,5/6/22,3.1,3.1,78,63,38,69
VUMY,2M-1,5/6/22,4,4,35,30,27,35
VUMY,3M-2,5/20/22,5,6,36,39,57,60
VUMY,2M-4,5/20/22,5,5,38,30,46,60
VUMY,5M-5,5/20/22,6,6,83,80,49,67
VUMY,2M-3,5/20/22,5,4,54,45,55,61
VUMY,4M-1,5/20/22,5,5.5,38,35,58,59
VUMY,3M-4,5/27/22,3.2,3.9,37,28,33,37
VUMY,5M-1,5/27/22,3,3,47,34,32,51
VUMY,2M-2,5/27/22,4.8,5,38,34,39,39
VUMY,5M-3,5/27/22,6.5,7,35,37,24,25
VUMY,4M-5,5/27/22,4.5,3,20,19,18,18
VUMY,5M-4,6/3/22,4.2,4.5,76,77,51,61
VUMY,3M-5,6/3/22,5.7,4.6,37,39,30,33
VUMY,4M-3,6/3/22,5,4.5,95,76,56,65
VUMY,4M-2,6/3/22,6.5,8,69,42,57,65
VUMY,3M-1,6/3/22,5.5,5,33,36,35,35
NAPU4,4M-3,7/8/22,5,6,61,57,37,45
NAPU4,3M-5,7/8/22,4.5,5,71,58,35,55
NAPU4,3M-4,7/8/22,6.5,5.3,67,62,54,65
NAPU4,2M-2,7/8/22,4,3.5,44,56,32,35
NAPU4,3M-1,7/8/22,4.3,3.5,80,77,50,65
ARPU9,3M-4,7/8/22,3.6,4,67,61,30,50
ARPU9,4M-2,7/8/22,2.8,3,63,60,26,40
ARPU9,3M-5,7/8/22,2.6,2.8,68,59,31,60
ARPU9,4M-3,7/8/22,4.1,3.7,91,83,55,70
ARPU9,3M-1,7/8/22,2.7,2.5,57,56,33,41
